Date,Event,OB,Penalty,Total,Score,Out,In,Gon-Patt+36,1st,2nd,green,approach,Double Total,3 shot in 100,Total,Score,,1,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,2,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,3,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,4,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,5,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,6,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,7,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,8,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,9,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,,10,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,11,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,12,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,13,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,14,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,15,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,16,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,17,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,18,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数
8/3/2025,パターが全く入らない。3パットが6回はワーストではないか？ 入賞まで7足りない、,2,0,2,89,43,46,11 ,1,0,1,1,3,2,5,0,,4,3W,F,50,GO, r-yard:99,3,6,2,2,5,3W,F,50,GO, r-yard:65,2,6,3,2,5,3U,F,50,↑, r-yard:99,3,2,2,3,4,,,5,GO, r-yard:176,4,30,3,1,6,1W,↑,4,↓, r-yard:54,4,20,3,3,6,1W,F,P,GO, r-yard:105,1,27,3,3,3,,,P,GO, r-yard:105,5,3,2,1,6,1W,F,4,GO, r-yard:84,2,6,2,4,4,3W,F,P,GO, r-yard:158,2,8,2,2,,5,,,5,?, r-yard:170,3,7,3,2,4,1W,F,0,GO, r-yard:90,2,5,2,2,5,3W,←,9,?, r-yard:130,2,5,2,3,4,1W,F,4,GO, r-yard:91,1,10,2,2,10,1W,ROB,P,↑,2nd ROB r-yard:100,3,5,2,8,5,1W,F,8,GO, r-yard:131,3,6,3,2,4,1W,F,0,↑, r-yard:63,3,1,1,3,4,,,8,→, r-yard:145,1,10,2,2,5,1W,F,4,GO, r-yard:64,3,4,2,3
7/26/2025,5a設定がいちばんやさしいかも。#16はスライス狙いで、左の期にぶつかりLOB。#17は打ち損じシャンクっぽくROB。#2もダフリがあり、体とボールの距離感に難あり。,2 ,0 ,2 ,80 ,38 ,42 ,6 ,0,0,1,0,1,1,2,1,,5,3W,?,P,GO, r-yard:101,3,18,3,2,5,3W,F,0,↓, r-yard:68,1,8,2,3,4,3U,F,0,GO, r-yard:99,1,3,2,2,4,,,5,GO, r-yard:176,2,11,3,1,3,1W,F,4,GO, r-yard:60,3,2,1,2,5,1W,F,3W,?, r-yard:235,2,8,2,3,3,,,4,GO, r-yard:90,2,2,2,1,5,1W,F,4,GO, r-yard:66,1,10,2,3,4,3W,F,9,GO, r-yard:158,3,8,2,2,,3,,,5,?, r-yard:170,3,2,1,2,5,1W,F,0,GO, r-yard:90,1,8,3,2,4,3W,↑,4,GO, r-yard:81,1,3,2,2,5,1W,→,9,↓, r-yard:91,3,4,2,3,5,1W,↑,9,GO, r-yard:130,2,8,2,3,5,1W,LOB,4,↓, r-yard:148,1,1.5,1,4,4,1W,F,0,GO, r-yard:64,3,9,2,2,5,,,8,GO, r-yard:145,2,13,2,3,6,1W,?,4,GO, r-yard:58,3,6,2,4
7/19/2025,#15 1打目左OBではなかったが、スライスがかからずストレート弾道、#8 1駄目、ストレートだが、バンカー、バンカーの後右へロストボール。#9 1打目左へ5U右に行き、アプローチで多打。,1 ,1 ,2 ,85 ,45 ,40 ,6 ,3,0,0,0,3,0,3,1,,5,3W,F,P,GO, r-yard:101,3,18,3,2,4,3W,F,0,GO, r-yard:68,2,14,2,2,3,3U,F,4,GO, r-yard:74,2,1,1,2,3,,,5,GO, r-yard:176,4,13,2,1,5,1W,←,9,↓,B r-yard:129,4,4,2,3,5,3U,F,4,GO, r-yard:67,3,1,1,4,3,,,0,GO, r-yard:91,2,1,1,2,9,1W,?,4,?,2nd lost B r-yard:66,2,18,3,6,8,3W,←,5U,→,WH r-yard:158,2,10,2,6,,4,,,5,?,B r-yard:171,3,3,2,2,4,1W,←,9,GO, r-yard:111,2,7,2,2,4,3W,↑,4,GO, r-yard:99,2,19,2,2,5,1W,→,9,GO, r-yard:91,1,8,3,2,5,1W,↑,9,GO, r-yard:121,3,20,2,3,6,1W,←,5,↓,B r-yard:148,3,14,3,3,4,1W,F,0,GO, r-yard:64,2,6,2,2,3,,,8,GO, r-yard:145,1,13,2,1,5,1W,?,0,GO,B r-yard:58,3,1,1,4
7/12/2025,#14はDr OB、2nd 3U ROB、#8はDr OB,3 ,1 ,4 ,83 ,42 ,41 ,3 ,2,0,0,0,2,0,2,1,,4,3W,F,8,GO, r-yard:136,3,9,2,2,4,1W,←,4,GO, r-yard:74,2,11,2,2,4,3U,F,0,GO, r-yard:86,2,2,2,2,3,,,6,GO, r-yard:164,4,8,2,1,5,1W,←,P,↓,B r-yard:112,5,2,1,4,5,1W,?,P,GO, r-yard:105,1,6,2,3,3,,,4,GO, r-yard:100,1,8,2,1,9,1W,ROB,8,?, r-yard:138,2,11,2,7,5,3W,←,8,GO,WH r-yard:123,2,9,2,3,,4,,,5,→, r-yard:171,3,24,3,1,4,1W,?,9,GO, r-yard:98,2,18,2,2,4,3W,↑,0,GO, r-yard:98,2,1,1,3,5,1W,F,8,↓,Bunker r-yard:118,1,17,2,3,9,1W,LOB,7,GO,2nd OB r-yard:141,3,5,2,7,3,1W,←,8,GO, r-yard:126,3,2,1,2,4,1W,F,0,↑, r-yard:54,2,2,1,3,3,,,8,GO, r-yard:136,1,9,2,1,5,1W,?,9,GO, r-yard:110,3,5,2,3
7/6/2025,入賞には10足りない。Green狙いに多く課題#14 5U右木 #1 8I右OB、#5 50短い。 #8 3U 右木,1 ,0 ,1 ,90 ,46 ,44 ,9 ,0,0,4,1,5,1,6,0,,8,3W,?,8,ROB, r-yard:106,1,3,2,6,5,1W,←,0,→, r-yard:90,3,2,2,3,5,3U,?,4,GO, r-yard:90,1,2,2,3,3,,,5,GO, r-yard:174,3,2,2,1,6,1W,?,0,↓,B r-yard:100,1,6,2,4,5,1W,?,0,GO, r-yard:103,3,18,2,3,3,,,P,GO, r-yard:98,4,7,2,1,7,1W,→,3U,?, r-yard:198,2,10,2,5,4,3W,F,9,GO, r-yard:123,1,7,2,2,,4,,,5,→, r-yard:170,4,7,2,2,4,1W,F,9,GO, r-yard:103,1,2,1,3,4,3W,F,8,GO, r-yard:150,4,10,2,2,5,1W,F,8,GO, r-yard:130,3,10,3,2,7,1W,F,5u,?, r-yard:180,1,6,2,5,5,1W,←,P,GO, r-yard:109,3,20,3,2,6,1W,F,0,GO, r-yard:54,1,10,4,2,4,,,6,?, r-yard:138,3,10,2,2,5,1W,F,P,GO, r-yard:90,1,13,2,3
7/5/2025,女子プロ見た後翌々日、,3 ,0 ,3 ,83 ,45 ,38 ,1 ,2,0,0,1,3,2,5,2,,4,3W,F,P,←, r-yard:106,1,1,1,3,4,1W,↓,0,↓, r-yard:67,4,1.5,1,3,6,3U,F,9,?, r-yard:117,2,12,3,3,4,,,6,↓, r-yard:154,3,5,2,2,5,1W,↑,4,GO, r-yard:54,2,5,2,3,4,1W,?,0,GO, r-yard:88,3,3,1,3,3,,,4,GO, r-yard:90,2,3,2,1,9,1W,ROB,9,ROB, r-yard:117,3,10,2,7,6,3W,ROB,9,→, r-yard:123,1,1,1,5,,3,,,6,→, r-yard:150,1,0,0,3,4,1W,F,9,GO, r-yard:103,4,9,2,2,5,3W,↑,P,?, r-yard:80,4,2,2,3,5,1W,→,9,←, r-yard:117,3,3,2,3,6,1W,F,P,GO, r-yard:108,1,6,3,3,3,1W,F,P,GO, r-yard:109,4,2,1,2,4,1W,F,0,GO, r-yard:54,1,4,2,2,3,,,8,GO, r-yard:138,3,10,2,1,5,1W,F,0,GO, r-yard:87,1,13,2,3
6/28/2025,#1は右2OB。Tさんと。ゆっくりスイングができたが、#1はおきに行くと、右プッシュになるから打っていく。#12と同じだ。,2 ,0 ,2 ,81 ,41 ,40 ,0 ,1,0,0,0,1,2,3,2,,7,3W,ROB,0,GO, r-yard:88,1,1.5,1,6,4,1W,F,P,↓, r-yard:98,4,2,1,3,5,3U,F,0,GO, r-yard:86,2,12,3,2,4,,,6,←, r-yard:164,3,4,2,2,5,1W,F,P,GO, r-yard:125,2,4,2,3,5,1W,F,4,GO, r-yard:64,3,3,2,3,3,,,4,GO, r-yard:90,2,2,2,1,4,1W,→,9,?,B r-yard:110,3,0,0,4,4,3W,F,7,GO, r-yard:140,1,3,2,2,,3,,,6,GO, r-yard:150,1,3,2,1,3,1W,F,9,GO, r-yard:103,4,4,1,2,5,3W,↑,P,?, r-yard:116,4,4,2,3,5,1W,?,7,?, r-yard:153,3,1,1,4,6,1W,F,9,↓,B r-yard:120,1,1,1,5,5,1W,F,6,GO, r-yard:151,4,15,3,2,5,1W,←,54,GO, r-yard:74,1,10,3,2,3,,,6,→, r-yard:167,3,2,1,2,5,1W,F,8,←, r-yard:107,1,1.5,1,4
6/21/2025,#14は、3打目をシャンク、その後もシャンク続き。５I 力みと、ながさか。,0 ,1 ,1 ,79 ,40 ,39 ,4 ,0,0,1,0,1,3,4,2,,5,3W,F,0,↑, r-yard:94,3,2,2,3,5,1W,→,P,↓, r-yard:90,2,3,2,3,4,3U,F,0,GO, r-yard:97,2,4,2,2,3,,,6,GO, r-yard:164,4,28,2,1,4,1W,?,4,GO, r-yard:82,5,8,2,2,5,3U,F,0,GO, r-yard:64,1,9,2,3,3,,,4,GO, r-yard:84,1,8,2,1,6,1W,?,4,GO, r-yard:70,2,9,3,3,5,3W,←,9,GO,Hazard r-yard:119,2,8,2,3,,3,,,5,?, r-yard:176,3,1,1,2,5,1W,F,P,GO, r-yard:110,2,14,3,2,5,3W,→,P,GO, r-yard:127,2,6,2,3,4,1W,→,P,GO,B r-yard:95,1,9,2,2,8,1W,F,5,?, r-yard:161,3,1,1,7,3,1W,F,P,GO, r-yard:117,3,1,1,2,3,1W,F,54,GO, r-yard:80,2,2,1,2,3,,,7,GO, r-yard:132,1,9,2,1,5,1W,F,P,GO, r-yard:90,3,18,2,3
6/14/2025,#5 #14と右OB、＃11も右プッシュで、スライスはしないがプッシュ量が多い様だ。,2 ,0 ,2 ,90 ,44 ,46 ,6 ,2,1,1,1,5,1,6,0,,4,3W,→,9,GO, r-yard:118,2,13,2,2,4,1W,←,P,GO, r-yard:110,4,11,2,2,4,3U,F,0,?, r-yard:101,3,1,1,3,4,,,6,GO, r-yard:164,1,15,3,1,7,1W,ROB,0,↓, r-yard:101,4,1,1,6,6,3U,F,0,GO, r-yard:80,2,13,3,3,3,,,4,GO, r-yard:90,1,8,2,1,7,1W,→,0,GO,B r-yard:109,3,7,2,5,5,3W,F,9,↑, r-yard:119,2,2,2,3,,4,,,5,→, r-yard:153,2,1,1,3,6,1W,→,8,?, r-yard:18,3,25,3,3,4,3W,F,9,GO, r-yard:110,3,6,2,2,5,1W,F,8,GO, r-yard:110,2,10,3,2,8,1W,ROB,4,↑, r-yard:50,3,8,2,6,4,1W,F,P,↑, r-yard:108,2,1,1,3,6,1W,?,54,GO,B r-yard:80,3,8,2,4,3,,,8,GO, r-yard:132,1,7,2,1,6,1W,F,0,?, r-yard:87,3,1,2,4
6/7/2025,"#1は,3W投入。雨続きで記録していない。17はシャンクとひっかけの2OB、5は、Bunkerトラブル3回出ず。",3 ,0 ,3 ,89 ,45 ,44 ,4 ,1,0,2,0,3,0,3,0,,4,3W,F,P,GO, r-yard:110,3,6,2,2,6,1W,LOB,4,↓, r-yard:74,1,1,1,5,5,3U,F,4,GO, r-yard:74,1,20,3,2,4,,,5,→,B r-yard:175,2,20,2,2,8,1W,F,4,↓,B r-yard:60,3,2,2,6,5,3U,F,4,GO, r-yard:30,2,13,2,3,3,,,4,GO, r-yard:90,2,1,1,2,6,1W,F,P,GO, r-yard:109,1,3,2,4,4,3W,?,5U,GO, r-yard:170,3,2,1,3,,4,,,5,?, r-yard:162,3,2,2,2,4,1W,F,4,↓, r-yard:80,1,1,1,3,4,3W,F,0,GO, r-yard:110,1,9,2,2,4,1W,F,P,GO, r-yard:110,3,9,2,2,6,1W,F,8,GO, r-yard:129,2,12,3,3,5,1W,F,P,?, r-yard:110,1,2,2,3,4,1W,F,54,GO, r-yard:80,3,8,2,2,7,,,7,ROB, r-yard:152,2,1,1,6,6,1W,F,4,GO, r-yard:80,3,20,3,3
